"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1197,891035,10820,15,"10820_12_15_16_17_23_24","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",815,NA,NA,815,100,NA,NA,"V-B",216,6,73,0.847058824,0.023529412,0.28627451,198161,16.4
"2",1182,787272,10160,15,"10160_15_28","Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,175085,14.5
"3",31,735217,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,163508,13.5
"4",2705,417715,10804,15,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,92898,7.7
"5",404,343275,10780,15,"10780_15","Colorado Plateau Blackbrush-Mormon-tea Shrubland","Shrubland",282,NA,NA,282,100,NA,NA,"V-A",52,155,207,0.203921569,0.607843137,0.811764706,76343,6.3
"6",1190,333089,10540,15,"10540_15_25","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",396,108,10,9,2,9,89,"I-B",168,56,0,0.658823529,0.219607843,0,74077,6.1
"7",1202,293933,11040,15,"11040_15","Mogollon Chaparral","Shrubland",80,NA,2171,77,96,NA,4,"IV-A",173,250,211,0.678431373,0.980392157,0.82745098,65369,5.4
"8",406,281234,10930,15,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,62545,5.2
"9",1209,227220,11270,15,"11270_15","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",118,NA,NA,118,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,50533,4.2
"10",1196,149163,10810,15,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,NA,NA,616,100,NA,NA,"V-B",245,202,122,0.960784314,0.792156863,0.478431373,33173,2.7
"11",1191,128698,10550,15,"10550_15_28","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,NA,137,69,31,NA,"IV-B",211,255,190,0.82745098,1,0.745098039,28622,2.4
"12",1180,98042,10040,15,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,242,189,1,0.949019608,0.741176471,21804,1.8
