"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_15",0.0087156,"Rocky Mountain Aspen Forest and Woodland",73,0.450980392,2,0,0.0174312
"2","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",2,0.4,175085,14.5,1411.325168
"3","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",34,0.4,752,0.1,5.9050048
"4","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",57,0.4,19,0,0.1491956
"5","All Fire","10190_13_14",0.00641,"Great Basin Pinyon-Juniper Woodland",53,0,64,0,0.41024
"6","All Fire","10190_15",0.0063906,"Great Basin Pinyon-Juniper Woodland",18,0,8322,0.7,53.1825732
"7","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",40,0.517647059,1439,0.1,62.1176008
"8","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",41,0.117647059,899,0.1,38.0999796
"9","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",63,0.117647059,1,0,0.0423804
"10","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",42,0.121568627,1532,0.1,33.0859912
"11","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",64,0.121568627,6,0,0.1295796
"12","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",19,1,7935,0.7,741.873303
"13","All Fire","10520_15",0.029845,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",20,0.901960784,8586,0.7,256.24917
"14","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",6,0,74077,6.1,8030.4060774
"15","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",11,0.745098039,28622,2.4,208.8490096
"16","All Fire","10610_15_25",0.0810248,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",14,0,14882,1.2,1205.8110736
"17","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",26,0.843137255,3759,0.3,47.878383
"18","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",35,0.843137255,872,0.1,11.106664
"19","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",58,0.843137255,5,0,0.063685
"20","All Fire","10780_15",0.0034632,"Colorado Plateau Blackbrush-Mormon-tea Shrubland",5,0.811764706,76343,6.3,264.3910776
