TransitionGroupID,Model_Code,annual_probability,BpS_Name,...1,BLUE,ACRES,REL_PERCENT,annual_dist_acres
All Fire,10820_12_15_16_17_23_24,0.0012436,Mojave Mid-Elevation Mixed Desert Scrub,1,0.28627451,198161,16.4,246.4330196
All Transitions,10820_12_15_16_17_23_24,0.0012436,Mojave Mid-Elevation Mixed Desert Scrub,1,0.28627451,198161,16.4,246.4330196
Replacement Fire,10820_12_15_16_17_23_24,0.0012436,Mojave Mid-Elevation Mixed Desert Scrub,1,0.28627451,198161,16.4,246.4330196
All Fire,10160_15_28,0.0080608,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,1411.325168
All Transitions,10160_15_28,0.0266456,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,4665.244876
Alternative Succession,10160_15_28,0.0076906,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,1346.508701
Competition or Maintenance,10160_15_28,0.0034882,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,610.731497
Insect or Disease,10160_15_28,0.0058672,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,1027.258712
Mixed Fire,10160_15_28,0.0052476,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,918.776046
Non Fire Disturbances,10160_15_28,0.0108942,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,1907.411007
Non Replacement Fire,10160_15_28,0.0057084,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,999.455214
Replacement Fire,10160_15_28,0.0023524,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,411.869954
Surface Fire,10160_15_28,0.0004608,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,80.679168
Wind or Weather or Stress,10160_15_28,0.0015388,Colorado Plateau Pinyon-Juniper Woodland,2,0.4,175085,14.5,269.420798
All Fire,10804_6_12_15_16_17_18_23_24_25,0.0084418,Inter-Mountain Basins Big Sagebrush Shrubland - Upland,4,0.909803922,92898,7.7,784.2263364
All Transitions,10804_6_12_15_16_17_18_23_24_25,0.0143996,Inter-Mountain Basins Big Sagebrush Shrubland - Upland,4,0.909803922,92898,7.7,1337.694041
Non Fire Disturbances,10804_6_12_15_16_17_18_23_24_25,0.0059578,Inter-Mountain Basins Big Sagebrush Shrubland - Upland,4,0.909803922,92898,7.7,553.4677044
Replacement Fire,10804_6_12_15_16_17_18_23_24_25,0.0084418,Inter-Mountain Basins Big Sagebrush Shrubland - Upland,4,0.909803922,92898,7.7,784.2263364
Wind or Weather or Stress,10804_6_12_15_16_17_18_23_24_25,0.0059578,Inter-Mountain Basins Big Sagebrush Shrubland - Upland,4,0.909803922,92898,7.7,553.4677044
All Fire,10780_15,0.0034632,Colorado Plateau Blackbrush-Mormon-tea Shrubland,5,0.811764706,76343,6.3,264.3910776
All Transitions,10780_15,0.0034632,Colorado Plateau Blackbrush-Mormon-tea Shrubland,5,0.811764706,76343,6.3,264.3910776
Replacement Fire,10780_15,0.0034632,Colorado Plateau Blackbrush-Mormon-tea Shrubland,5,0.811764706,76343,6.3,264.3910776
All Fire,10540_15_25,0.1084062,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,8030.406077
All Transitions,10540_15_25,0.1109472,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,8218.635734
Alternative Succession,10540_15_25,0.0020834,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,154.3320218
Insect or Disease,10540_15_25,0.0004576,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,33.8976352
Mixed Fire,10540_15_25,0.0093404,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,691.9088108
Non Fire Disturbances,10540_15_25,0.0004576,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,33.8976352
Non Replacement Fire,10540_15_25,0.1059008,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,7844.813562
Replacement Fire,10540_15_25,0.0025054,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,185.5925158
Surface Fire,10540_15_25,0.0965604,Southern Rocky Mountain Ponderosa Pine Woodland,6,0,74077,6.1,7152.904751
All Fire,11040_15,0.013108,Mogollon Chaparral,7,0.82745098,65369,5.4,856.856852
All Transitions,11040_15,0.013108,Mogollon Chaparral,7,0.82745098,65369,5.4,856.856852
Non Replacement Fire,11040_15,0.0005036,Mogollon Chaparral,7,0.82745098,65369,5.4,32.9198284
