"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,36348,618852475,"Open Water",215,237,247,0.843137255,0.929411765,0.968627451,8084,0.7
"2",13,320,32666410,"Developed-Upland Deciduous Forest",145,186,136,0.568627451,0.729411765,0.533333333,71,0
"3",14,5211,27916204,"Developed-Upland Evergreen Forest",106,141,121,0.415686275,0.552941176,0.474509804,1159,0.1
"4",15,655,14399371,"Developed-Upland Mixed Forest",84,112,99,0.329411765,0.439215686,0.388235294,146,0
"5",16,171,51432545,"Developed-Upland Herbaceous",116,155,148,0.454901961,0.607843137,0.580392157,38,0
"6",17,1212,46968954,"Developed-Upland Shrubland",187,174,140,0.733333333,0.682352941,0.549019608,270,0
"7",22,593,101146235,"Developed - Low Intensity",153,153,153,0.6,0.6,0.6,132,0
"8",23,347,47439540,"Developed - Medium Intensity",102,102,102,0.4,0.4,0.4,77,0
"9",24,147,23025357,"Developed - High Intensity",51,51,51,0.2,0.2,0.2,33,0
"10",25,6460,278209151,"Developed-Roads",0,0,0,0,0,0,1437,0.1
"11",31,735217,110941119,"Barren",192,180,176,0.752941176,0.705882353,0.690196078,163508,13.5
"12",32,204,7352699,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",204,204,204,0.8,0.8,0.8,45,0
"13",63,2,39156145,"NASS-Row Crop-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,0,0
"14",64,27,996488292,"NASS-Row Crop",214,210,77,0.839215686,0.823529412,0.301960784,6,0
"15",65,182,96060928,"NASS-Close Grown Crop",214,210,77,0.839215686,0.823529412,0.301960784,40,0
"16",68,10,187766346,"NASS-Wheat",214,210,77,0.839215686,0.823529412,0.301960784,2,0
"17",100,1460007,85409438,"Sparse Vegetation Canopy",126,106,128,0.494117647,0.415686275,0.501960784,324698,26.8
"18",101,80654,23978382,"Tree Height = 1 meter",228,239,224,0.894117647,0.937254902,0.878431373,17937,1.5
"19",102,99722,19983841,"Tree Height = 2 meters",225,237,220,0.882352941,0.929411765,0.862745098,22178,1.8
"20",103,127801,33768345,"Tree Height = 3 meters",221,235,216,0.866666667,0.921568627,0.847058824,28422,2.3
"21",104,138227,36723688,"Tree Height = 4 meters",218,233,212,0.854901961,0.91372549,0.831372549,30741,2.5
"22",105,136963,50517943,"Tree Height = 5 meters",214,231,207,0.839215686,0.905882353,0.811764706,30460,2.5
"23",106,131625,40921392,"Tree Height = 6 meters",206,227,198,0.807843137,0.890196078,0.776470588,29273,2.4
"24",107,106780,35815084,"Tree Height = 7 meters",198,223,188,0.776470588,0.874509804,0.737254902,23747,2
"25",108,103439,83421369,"Tree Height = 8 meters",189,218,179,0.741176471,0.854901961,0.701960784,23004,1.9
"26",109,60887,44002137,"Tree Height = 9 meters",181,214,169,0.709803922,0.839215686,0.662745098,13541,1.1
"27",110,56828,59168121,"Tree Height = 10 meters",173,210,160,0.678431373,0.823529412,0.62745098,12638,1
